Código do registro = „3? (três);1;1;1
Linha de Instrução – 1;2;71;70
Linha de Instrução – 2;72;141;70
Linha de Instrução – 3;142;211;70
Linha de Instrução – 4;212;281;70
Linha de Instrução – 5;282;351;70
Linha de Instrução – 6;352;421;70
Linha de Instrução – 7;422;491;70
Linha de Instrução – 8;492;561;70
Deixar em branco;562;593;32
Seqüência do registro no arquivo.;594;600;7
